business_name,business_address,business_city,business_state,business_postal_code,inspection_date,inspection_score,violation_description,risk_category
Mel's Drive-In,833 MISSION St,San Francisco,CA,94103,3/28/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
KIRIN RESTAURANT,6135 GEARY Blvd,San Francisco,CA,94121,1/29/16 0:00,,,
Trattoria Pinocchio,401 Columbus Ave,San Francisco,CA,94133,8/16/16 0:00,79,Moderate risk vermin infestation,Moderate Risk
PARAGON RESTAURANT & BAR,701 02nd St,San Francisco,CA,94107,9/16/16 0:00,86,Inadequate and inaccessible handwashing facilities,Moderate Risk
SLIM'S,333 11th St,San Francisco,CA,94103,8/24/16 0:00,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Ferry Plaza Wine Merchant,1 Ferry Building  #23,San Francisco,CA,94111,8/3/16 0:00,100,,
SF MARRIOTT BIN (formerly ATRIUM LOUNGE),55 04th St,San Francisco,CA,94103,8/11/16 0:00,,,
Roaring 20's,552 Broadway St,San Francisco,CA,94133,5/20/16 0:00,96,Insufficient hot water or running water,Moderate Risk
Gino and Carlo Inc,548 Green St,San Francisco,CA,94133,5/13/16 0:00,,Improper storage of equipment utensils or linens,Low Risk
Hustler Club,1031 kearny St,San Francisco,CA,94133,5/20/16 0:00,88,Food safety certificate or food handler card not available,Low Risk
Shannon Arms,915 Taraval,San Francisco,CA,94116,6/1/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
HOCKEY HAVEN,3625 BALBOA St,San Francisco,CA,94121,2/10/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Cresta's 2211 Club,2211 Polk St,San Francisco,CA,94109,5/14/16 0:00,92,Inadequate and inaccessible handwashing facilities,Moderate Risk
Titanic Lounge AKA Gangway,841 LARKIN St,San Francisco,CA,94109,9/8/16 0:00,94,Inadequate warewashing facilities or equipment,Low Risk
FINAL FINAL,2990 BAKER St,San Francisco,CA,94123,7/5/16 0:00,94,Unclean nonfood contact surfaces,Low Risk
Holiday Inn Fisherman's Wharf,1300 Columbus Ave,San Francisco,CA,94133,4/18/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
GLENEAGLES GOLF COURSE AT M P,2100 SUNNYDALE Ave,San Francisco,CA,94134,5/24/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
Ritz-Carlton SF - Bakery,600 Stockton St 2nd Floor,San Francisco,CA,94108,3/30/16 0:00,98,Unapproved or unmaintained equipment or utensils,Low Risk
Cafe Du Soleil,200 FILLMORE St,San Francisco,CA,94117,3/4/16 0:00,92,Inadequate warewashing facilities or equipment,Low Risk
DIVA'S,1081 Post St,San Francisco,CA,94109,10/3/16 0:00,88,Low risk vermin infestation,Low Risk
CLUB PUERTORRIQUENO OF SF INC.,3249A MISSION St,San Francisco,CA,94110,2/26/16 0:00,100,,
Barbarossa,714 Montgomery St,San Francisco,CA,94111,12/20/16 0:00,92,Inadequate warewashing facilities or equipment,Low Risk
Sweetie's,475 Francisco St,San Francisco,CA,94133,6/22/16 0:00,96,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Crepe Cafe,Pier 39  Space D-3,San Francisco,CA,94133,3/30/16 0:00,94,Foods not protected from contamination,Moderate Risk
STARBUCKS COFFEE,1298 HOWARD St,San Francisco,CA,94103,5/4/16 0:00,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
NOE VALLEY BAKERY & BREAD CO.,4073 24th St,San Francisco,CA,94114,6/8/16 0:00,96,Low risk vermin infestation,Low Risk
DIANA MARKET #2,282 09th St,San Francisco,CA,94103,8/23/16 0:00,100,,
Food Express,716 Grant Ave,San Francisco,CA,94108,6/8/16 0:00,,,
Universal Bakery Inc.,3458 MISSION St,San Francisco,CA,94110,6/28/16 0:00,88,Unclean or degraded floors walls or ceilings,Low Risk
Cottage Market,798 Bush St,San Francisco,CA,94108,8/19/16 0:00,,,
"Hotwok Express, Inc",605 Battery St,San Francisco,CA,94111,7/11/16 0:00,,,
Freddie's Sandwiches,300 Francisco St,San Francisco,CA,94133,7/27/16 0:00,92,Unclean or degraded floors walls or ceilings,Low Risk
Boudin Restaurant,160 Jefferson  2nd floor,San Francisco,CA,94133,8/4/16 0:00,,,
17th & Noe Market,3900 17th St,San Francisco,CA,94114,9/12/16 0:00,96,Improper food storage,Low Risk
Spot Light Market,298 Guerrero St,San Francisco,CA,94103,5/2/16 0:00,100,,
AFC Sushi @ Safeway 4601,145 Jackson St,San Francisco,CA,94111,3/7/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
AFC Sushi @ Safeway #1490,2300 16th St,San Francisco,CA,94103,10/24/16 0:00,100,,
STARBUCKS COFFEE #545,3995 24th St,San Francisco,CA,94114,12/5/16 0:00,100,,
Bi Rite Market,3639 18th St,San Francisco,CA,94110,8/16/16 0:00,100,,
NOE BAGEL,3933 24th St,San Francisco,CA,94114,9/30/16 0:00,,,
Mollie Stone's Grand Central Market (Mezzanine Level),2435 CALIFORNIA St,San Francisco,CA,94115,6/27/16 0:00,90,Moderate risk vermin infestation,Moderate Risk
Golden Gate Meat Co,1 Ferry Building  #13,San Francisco,CA,94111,2/9/16 0:00,100,,
LA LOMA PRODUCE #7,2695 San Bruno Ave,San Francisco,CA,94134,9/9/16 0:00,,,
AFC SUSHI @ SAFEWAY 1507,2020 MARKET St,San Francisco,CA,94114,5/10/16 0:00,90,Inadequate and inaccessible handwashing facilities,Moderate Risk
HSS 121 CAFE,1600 HOLLOWAY Ave,San Francisco,CA,94132,5/9/16 0:00,96,Insufficient hot water or running water,Moderate Risk
Gourmet Delight,1045 Stockton St,San Francisco,CA,94108,12/20/16 0:00,90,Inadequate and inaccessible handwashing facilities,Moderate Risk
LUCCA FOOD & WINE SHOP,1899 IRVING St,San Francisco,CA,94122,10/4/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
PEET'S COFFEE & TEA,054 WEST PORTAL Ave,San Francisco,CA,94127,6/2/16 0:00,96,Permit license or inspection report not posted,Low Risk
Shaws San Francisco,122 West Portal Ave,San Francisco,CA,94127,6/3/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
GENE'S LIQUOR,2201 TARAVAL St,San Francisco,CA,94116,6/7/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
7-Eleven Food Store,2000 Ocean Ave,San Francisco,CA,94127,10/6/16 0:00,96,,
LONDON MARKET & DELI,2901 SACRAMENTO St,San Francisco,CA,94115,2/27/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
Starbucks Coffee,500 Beach St,San Francisco,CA,94133,4/21/16 0:00,98,Food safety certificate or food handler card not available,Low Risk
RUTILY'S MARKET,1700 FILBERT St,San Francisco,CA,94123,9/26/16 0:00,92,Inadequate warewashing facilities or equipment,Low Risk
UNITED LIQUORS & DELI,2401 CHESTNUT St,San Francisco,CA,94123,4/14/16 0:00,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
KING'S BAKERY,2846 MISSION St,San Francisco,CA,94110,6/20/16 0:00,89,High risk food holding temperature,High Risk
KERY MARKET,648 ANDOVER St,San Francisco,CA,94110,4/5/16 0:00,96,Unclean or degraded floors walls or ceilings,Low Risk
THE CAKE HOUSE,5169 MISSION St,San Francisco,CA,94112,12/20/16 0:00,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
TAQUERIA CAN-CUN  RESTAURANT,1003 MARKET St,San Francisco,CA,94103,7/15/16 0:00,82,Moderate risk food holding temperature,Moderate Risk
E-Z STOP MARKET,2203 GENEVA Ave,San Francisco,CA,94134,9/7/16 0:00,94,Improper food storage,Low Risk
Biscoff Coffee Corner,Pier 39  Space Q2,San Francisco,CA,94133,6/22/16 0:00,98,Unapproved or unmaintained equipment or utensils,Low Risk
New Golden Daisy,1041 Stockton St,San Francisco,CA,94108,3/28/16 0:00,,,
Gourmet Kitchen,1051 Stockton St,San Francisco,CA,94108,12/12/16 0:00,92,Inadequate ventilation or lighting,Low Risk
Liquor & Deli On Union Square,423 Stockton St,San Francisco,CA,94108,4/28/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
Sun Sang Market,1205 Stockton St,San Francisco,CA,94133,8/16/16 0:00,75,Unclean or degraded floors walls or ceilings,Low Risk
Market May Flower & Deli,985 Bush St,San Francisco,CA,94109,8/15/16 0:00,100,,
WELCOME SUPER MARKET,1141 FOLSOM St,San Francisco,CA,94103,8/22/16 0:00,90,Food safety certificate or food handler card not available,Low Risk
Louie's Dim Sum,1242 Stockton St,San Francisco,CA,94133,7/7/16 0:00,,,
Hing Lung Company,1261 Stockton St,San Francisco,CA,94133,5/24/16 0:00,,,
Yo Yo's,318 Pacific Ave,San Francisco,CA,94111,5/2/16 0:00,89,Moderate risk food holding temperature,Moderate Risk
Guerra Quality Meats,490 Taraval,San Francisco,CA,94116,6/30/16 0:00,,Unsanitary employee garments hair or nails,Low Risk
Zanze's Cheesecake,2405 Ocean Ave,San Francisco,CA,94127,5/27/16 0:00,98,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
STARBUCKS COFFEE,3251 20th Ave,San Francisco,CA,94132,12/14/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
NOAH'S NEW YORK BAGELS #2937,028 WEST PORTAL Ave,San Francisco,CA,94127,6/7/16 0:00,92,Unapproved or unmaintained equipment or utensils,Low Risk
Sunset Bakery,1410 09th Ave,San Francisco,CA,94122,8/1/16 0:00,88,Improper thawing methods,Moderate Risk
Village Market,4555 California St,San Francisco,CA,94118,11/10/16 0:00,82,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
CHEUNG HING CHINESE DELI & MEAT INC,323 Clement St,San Francisco,CA,94118,5/12/16 0:00,67,Improper food storage,Low Risk
BALBOA BI-RITE MARKET,2449 BALBOA St,San Francisco,CA,94121,5/27/16 0:00,96,Other moderate risk violation,Moderate Risk
House of Bagels,5030 Geary Blvd,San Francisco,CA,94118,7/12/16 0:00,,,
STARBUCKS COFFEE CO,120 04th St,San Francisco,CA,94103,6/7/16 0:00,,,
7-ELEVEN #20473,2222 TARAVAL St,San Francisco,CA,94116,5/24/16 0:00,94,Unclean or degraded floors walls or ceilings,Low Risk
EMPIRE THEATRE,085 WEST PORTAL Ave,San Francisco,CA,94127,6/2/16 0:00,96,Insufficient hot water or running water,Moderate Risk
GOLDEN BEAR MARKET,1401 06th Ave,San Francisco,CA,94122,7/27/16 0:00,100,,
SUNSET SUPER,2801 Vicente St,San Francisco,CA,94116,4/8/16 0:00,,,
MARCO POLO ITALIAN ICE CREAM,1447 TARAVAL St,San Francisco,CA,94116,5/31/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
IRVING SEAFOOD MARKET,2130 IRVING St,San Francisco,CA,94122,12/6/16 0:00,84,Unclean or degraded floors walls or ceilings,Low Risk
ANDRE-BOUDIN BAKERIES,399 10th Ave,San Francisco,CA,94118,4/15/16 0:00,,,
SUBWAY,2516 NORIEGA St,San Francisco,CA,94122,4/1/16 0:00,100,,
JAVA ON OCEAN,1700 OCEAN Ave,San Francisco,CA,94112,2/22/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
NORMAN'S LIQUOR & DELI,733 Randolph St,San Francisco,CA,94132,12/3/16 0:00,96,Permit license or inspection report not posted,Low Risk
RICE GARDEN,1515 SLOAT Blvd,San Francisco,CA,94132,6/3/16 0:00,92,Foods not protected from contamination,Moderate Risk
Mrs. Fields Cookies,3251 20th Ave 249,San Francisco,CA,94132,12/9/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
CONVENIENCE DELI & GROCERY,1201 LAGUNA St,San Francisco,CA,94115,6/6/16 0:00,92,Unclean or degraded floors walls or ceilings,Low Risk
STEWART'S MARKET,2498 SUTTER St,San Francisco,CA,94115,6/23/16 0:00,96,Improper storage use or identification of toxic substances,Low Risk
SHUFAT MARKET,3807 24th St,San Francisco,CA,94114,9/16/16 0:00,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
LA CANASTA TAKE-OUT,3006 BUCHANAN St,San Francisco,CA,94123,10/4/16 0:00,,,
GINO'S GROCERY COMPANY,2500 FILLMORE St,San Francisco,CA,94115,3/30/16 0:00,,,
SHERMAN MARKET,2606 FRANKLIN St,San Francisco,CA,94123,9/19/16 0:00,81,Moderate risk food holding temperature,Moderate Risk
MICHAELIS WINE & SPIRITS,2198 UNION St,San Francisco,CA,94123,9/14/16 0:00,92,Moderate risk vermin infestation,Moderate Risk
MAY FLOWER MKT.,2498 FILLMORE St,San Francisco,CA,94115,10/12/16 0:00,,,
Paradise Coffee & Donut,453 O'Farrell St,San Francisco,CA,94102,10/27/16 0:00,81,No hot water or running water,High Risk
BREAD & BUTTER MARKET,888 O'FARRELL St,San Francisco,CA,94109,4/4/16 0:00,,,
LUCCA DELICATESSEN,2120 CHESTNUT St,San Francisco,CA,94123,5/28/16 0:00,80,Moderate risk food holding temperature,Moderate Risk
Tan's Cafe III,155 Francisco St,San Francisco,CA,94133,5/5/16 0:00,90,Inadequate dressing rooms or improper storage of personal items,Low Risk
New Russian Hill Market,1198 Pacific Ave,San Francisco,CA,94133,7/25/16 0:00,86,Inadequate and inaccessible handwashing facilities,Moderate Risk
Aunt Fanny's Hot Pretzels,Pier 39  Lot 12,San Francisco,CA,94133,6/21/16 0:00,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Chowder Hut,2890 Taylor St,San Francisco,CA,94133,5/17/16 0:00,,,
BAYSIDE MARKET,120 BRANNAN St,San Francisco,CA,94107,8/23/16 0:00,84,Food safety certificate or food handler card not available,Low Risk
SOUTH BEACH CAFE,800 EMBARCADERO St,San Francisco,CA,94107,8/24/16 0:00,83,Moderate risk vermin infestation,Moderate Risk
CANTON DIM SUM HOUSE,655 Folsom St,San Francisco,CA,94107,8/18/16 0:00,90,Improper food storage,Low Risk
TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,6/28/16 0:00,83,Moderate risk vermin infestation,Moderate Risk
WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA,1231 MARKET St,San Francisco,CA,94103,6/30/16 0:00,88,Moderate risk food holding temperature,Moderate Risk
SOUTH PARK CAFE,108 SOUTH PARK St,San Francisco,CA,94107,9/8/16 0:00,,,
"Good Life Grocery, The",448 CORTLAND Ave,San Francisco,CA,94110,3/8/16 0:00,92,Inadequate and inaccessible handwashing facilities,Moderate Risk
M & M SHORTSTOP,2145 GENEVA Ave,San Francisco,CA,94134,9/7/16 0:00,,,
NEW COLLEGE HILL MARKET,3798 MISSION St,San Francisco,CA,94110,4/25/16 0:00,98,Improper food storage,Low Risk
YICK'S LIQUOR,4701 MISSION St,San Francisco,CA,94112,11/10/16 0:00,94,Inadequate and inaccessible handwashing facilities,Moderate Risk
SAN BRUNO SUPERMARKET,2480 SAN BRUNO Ave,San Francisco,CA,94134,6/14/16 0:00,73,Inadequate and inaccessible handwashing facilities,Moderate Risk
SUBWAY #31419,2599 SAN BRUNO Ave,San Francisco,CA,94134,12/6/16 0:00,86,Improper or defective plumbing,Low Risk
WHITE PALACE LIQUOR & DELI,1524 SILVER Ave,San Francisco,CA,94134,7/1/16 0:00,92,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
THE GAP CAFE,1 HARRISON St,San Francisco,CA,94105,8/19/16 0:00,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
SAY CHEESE,856 COLE St,San Francisco,CA,94117,7/18/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
Safeway Store #985,2350 NORIEGA St,San Francisco,CA,94122,4/14/16 0:00,100,,
STARBUCKS COFFEE #9215,350 PARNASSUS Ave,San Francisco,CA,94117,5/3/16 0:00,,,
GEORGE'S ZOO,2560 SLOAT Blvd,San Francisco,CA,94116,6/21/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
SUNNY COUNTRY FOODS,1101 STANYAN St,San Francisco,CA,94117,9/13/16 0:00,,,
NORTH BEACH PIZZA,3054 TARAVAL St,San Francisco,CA,94116,6/14/16 0:00,,Unclean or unsanitary food contact surfaces,High Risk
FAMILY MARKET,198 BROAD St,San Francisco,CA,94112,3/31/16 0:00,84,Unapproved food source,High Risk
COOL GUYS,845 Holloway Ave,San Francisco,CA,94112,4/19/16 0:00,96,Employee eating or smoking,Moderate Risk
7-ELEVEN STORE 2230-23342E,3080 SAN JOSE Ave,San Francisco,CA,94112,7/29/16 0:00,92,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
Station Cafe,1 Zoo Rd,San Francisco,CA,94132,5/27/16 0:00,96,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
DRAGON CITY BAKERY & CAFE,2367 MISSION St,San Francisco,CA,94110,12/6/16 0:00,84,Food safety certificate or food handler card not available,Low Risk
NABILA'S HAYES VALLEY HEALTH FOOD,559 HAYES St,San Francisco,CA,94102,8/31/16 0:00,94,Improper food storage,Low Risk
JUMP START COFFEE & GROCERY,1192 GUERRERO St,San Francisco,CA,94110,5/2/16 0:00,90,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
STOP N SHOP,3000 Mission St,San Francisco,CA,94110,11/10/16 0:00,,,
LUCCA RAVIOLI CO,1100 VALENCIA St,San Francisco,CA,94110,1/20/16 0:00,,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
S & W MARKET,399 HAIGHT St,San Francisco,CA,94102,5/18/16 0:00,90,Moderate risk food holding temperature,Moderate Risk
SUNRISE MARKET,688 Haight St,San Francisco,CA,94117,10/24/16 0:00,85,Moderate risk food holding temperature,Moderate Risk
Ben & Jerry's Haight-Ashbury,1480 Haight St,San Francisco,CA,94117,7/15/16 0:00,100,,
SUPER SAM FOOD,691 MCALLISTER St,San Francisco,CA,94102,9/26/16 0:00,96,Unapproved or unmaintained equipment or utensils,Low Risk
NEW STAR MARKET,269 14th St,San Francisco,CA,94103,5/24/16 0:00,98,Improper or defective plumbing,Low Risk
LA PALMA,2884 24th St,San Francisco,CA,94110,3/23/16 0:00,92,Unapproved or unmaintained equipment or utensils,Low Risk
LA VICTORIA BAKERY,2937 24th St,San Francisco,CA,94110,9/6/16 0:00,78,Unclean nonfood contact surfaces,Low Risk
A B C MARKET,2801 BRYANT St,San Francisco,CA,94110,8/10/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
EL FARO,2399 FOLSOM St,San Francisco,CA,94110,5/19/16 0:00,92,Moderate risk vermin infestation,Moderate Risk
Good Luck Market & Deli,621 Kearny St,San Francisco,CA,94108,6/7/16 0:00,85,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Lebeau's Nob Hill Market,1263 Leavenworth St,San Francisco,CA,94109,10/20/16 0:00,81,Inadequate warewashing facilities or equipment,Low Risk
FRENCH BAKERY,1101 TARAVAL St,San Francisco,CA,94116,12/21/16 0:00,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
AVENUE FINE FOODS,1837 PACIFIC Ave,San Francisco,CA,94109,6/13/16 0:00,98,Improper food storage,Low Risk
CHEVRON STATIONS INC. #1727,2998 SAN JOSE Ave,San Francisco,CA,94112,11/9/16 0:00,96,Unclean or degraded floors walls or ceilings,Low Risk
Safeway Stores Inc #711,15 MARINA BL,San Francisco,CA,94123,11/14/16 0:00,,,
THAT'S IT MARKET,2699 Mission St,San Francisco,CA,94110,2/29/16 0:00,90,Improper food storage,Low Risk
Three Star Restaurant,2515 Noriega St,San Francisco,CA,94122,4/13/16 0:00,71,Unclean or degraded floors walls or ceilings,Low Risk
Angel's Market,1649 Castro St,San Francisco,CA,94114,3/30/16 0:00,,,
FRANKLIN MARKET,1528 FRANKLIN St,San Francisco,CA,94109,5/20/16 0:00,98,Improper storage of equipment utensils or linens,Low Risk
Young Ellis Produce,398 Ellis St,San Francisco,CA,94102,11/17/16 0:00,69,Unclean or degraded floors walls or ceilings,Low Risk
Sweet Mart,727 Washington St,San Francisco,CA,94108,4/21/16 0:00,,,
SENIORE'S PIZZA,2415 19th Ave,San Francisco,CA,94116,3/14/16 0:00,82,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
ROSSI'S DELI,426 Castro St,San Francisco,CA,94114,8/25/16 0:00,100,,
HEALTHY SPIRITS,2299 15th St,San Francisco,CA,94114,5/9/16 0:00,96,Insufficient hot water or running water,Moderate Risk
M & L MARKET,691 14th St,San Francisco,CA,94114,9/28/16 0:00,,,
HARVEST MARKET,2285 MARKET St,San Francisco,CA,94114,10/3/16 0:00,77,High risk food holding temperature,High Risk
PEET'S COFFEE & TEA,2257 MARKET St,San Francisco,CA,94114,7/13/16 0:00,,,
LA MEJOR BAKERY,3329 24th St,San Francisco,CA,94110,2/17/16 0:00,91,High risk food holding temperature,High Risk
LATTE EXPRESS,48 05th St,San Francisco,CA,94103,3/31/16 0:00,92,Improper food storage,Low Risk
STARBUCKS COFFEE CO,1231 MARKET St,San Francisco,CA,94103,9/22/16 0:00,,,
The Crab Station of Fisherman's Wharf,Foot of Taylor St #2,San Francisco,CA,94133,6/14/16 0:00,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
COLLEGE MARKET,995 ELLIS St,San Francisco,CA,94109,9/13/16 0:00,,,
PEET'S COFFEE & TEA,2300 16th St #240,San Francisco,CA,94103,7/29/16 0:00,,,
PIZZA HUT,3349 MISSION St,San Francisco,CA,94110,8/4/16 0:00,92,Moderate risk food holding temperature,Moderate Risk
MITCHELLS ICE CREAM,688 SAN JOSE Ave,San Francisco,CA,94110,9/23/16 0:00,96,Unapproved or unmaintained equipment or utensils,Low Risk
DESTINATION BAKING COMPANY,598 Chenery St,San Francisco,CA,94131,4/14/16 0:00,94,Unapproved or unmaintained equipment or utensils,Low Risk
MARINA DELI,2299 CHESTNUT St,San Francisco,CA,94123,5/28/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
PRESIDIO THEATRE,2340 CHESTNUT St,San Francisco,CA,94123,3/30/16 0:00,,,
LEE'S DELI,117 New Montgomery St,San Francisco,CA,94105,8/12/16 0:00,,,
JAVA TRADING CO,100 5th St,San Francisco,CA,94103,7/6/16 0:00,,,
CAFE-ROSSO,1600 HOLLOWAY Ave,San Francisco,CA,94132,3/22/16 0:00,,Unclean or degraded floors walls or ceilings,Low Risk
NOAH'S NEW YORK BAGELS #2105,1521 SLOAT Blvd,San Francisco,CA,94132,6/10/16 0:00,88,Inadequate and inaccessible handwashing facilities,Moderate Risk
SEAKOR DELI,5957 GEARY Blvd,San Francisco,CA,94121,8/26/16 0:00,100,,
AMC-Level #2,1000 Van Ness Ave #2,San Francisco,CA,94109,9/23/16 0:00,96,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
AMC-Level #4,1000 Van Ness Ave #4,San Francisco,CA,94109,10/14/16 0:00,,,
AMC-Level #7,1000 Van Ness Ave #7,San Francisco,CA,94109,10/14/16 0:00,,,
SUNSET SUPERMARKET,2425 IRVING St,San Francisco,CA,94122,10/3/16 0:00,82,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Crab Cake & Sweet,Pier 39  Space K-01,San Francisco,CA,94133,4/14/16 0:00,,,
POPEYES-GENEVA & MISSION,890 Geneva Ave,San Francisco,CA,94112,7/20/16 0:00,92,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk
In-N-Out Burger,333 Jefferson St,San Francisco,CA,94133,6/30/16 0:00,98,Permit license or inspection report not posted,Low Risk
KFC,1150 TARAVAL St,San Francisco,CA,94116,12/7/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
PIZZA HUT #758280,728 GEARY St,San Francisco,CA,94109,12/27/16 0:00,96,Permit license or inspection report not posted,Low Risk
Taco Bell,7 Drumm St,San Francisco,CA,94111,5/4/16 0:00,98,Improper or defective plumbing,Low Risk
POPEYES CHICKEN & BISCUIT,599 DIVISADERO St,San Francisco,CA,94117,7/8/16 0:00,,,
Kentucky Fried Chicken,200 Duboce St,San Francisco,CA,94103,10/3/16 0:00,,,
McDONALD'S,302 POTRERO Ave,San Francisco,CA,94110,10/24/16 0:00,84,Unclean or degraded floors walls or ceilings,Low Risk
CONGREGATION SHERITH ISRAEL,2266 CALIFORNIA St,San Francisco,CA,94115,10/5/16 0:00,,Insufficient hot water or running water,Moderate Risk
CHRIST UNITED PRESBYTERIAN CHU,1700 SUTTER St,San Francisco,CA,94115,8/2/16 0:00,,Moderate risk food holding temperature,Moderate Risk
NEIGHBORHOOD BAPTIST CHURCH,608 HAYES St,San Francisco,CA,94102,8/16/16 0:00,,Permit license or inspection report not posted,Low Risk
Jones Memorial United Methodist Church,1975 Post St,San Francisco,CA,94115,4/27/16 0:00,,Moderate risk vermin infestation,Moderate Risk
ST. PAULS SCHOOL,1690 Church St,San Francisco,CA,94131,3/4/16 0:00,,,
St Mary's Cathedral/Convention Center,1111 Gough St,San Francisco,CA,94109,7/18/16 0:00,,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
260 Golden Gate Family Residence,260 Golden Gate Ave,San Francisco,CA,94102,1/16/16 0:00,,,
COMING HOME HOSPICE,115 Diamond St,San Francisco,CA,94107,9/28/16 0:00,,,
CULINARY ARTS & HOSPITALITY,50 PHELAN Ave,San Francisco,CA,94112,5/19/16 0:00,,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
JEWISH HOME FOR THE AGED,302 SILVER Ave,San Francisco,CA,94112,8/11/16 0:00,,Low risk vermin infestation,Low Risk
LATINO CUISINE CULINARY ACADEMY,2929 19th St,San Francisco,CA,941102019,9/20/16 0:00,,Unapproved or unmaintained equipment or utensils,Low Risk
Western Addition Senior Citizen Service,1390 TURK St,San Francisco,CA,94115,12/7/16 0:00,88,Moderate risk vermin infestation,Moderate Risk
GOLDEN GATE YACHT CLUB,1 YACHT Rd,San Francisco,CA,941,4/29/16 0:00,,Improper storage use or identification of toxic substances,Low Risk
"MEALS ON WHEELS OF SF, INC.",1375 FAIRFAX Ave,San Francisco,CA,94124,7/7/16 0:00,,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
San Francisco Christian Academy,302 Eddy St,San Francisco,CA,94102,5/9/16 0:00,,Low risk vermin infestation,Low Risk
San Francisco Rescue Mission Cafe,226 Jones St,San Francisco,CA,94102,3/1/16 0:00,92,Foods not protected from contamination,Moderate Risk
Peter Claver Community,1340 Golden Gate Ave,San Francisco,CA,94115,7/12/16 0:00,,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk
JEWISH FAMILY & CHILDREN'S SERVICES,2534 JUDAH St,San Francisco,CA,94122,7/8/16 0:00,,,
Project Open Hand,730 Polk St,San Francisco,CA,94109,6/17/16 0:00,,,
CHRISTOPHER'S CATERING,1643 JERROLD Ave,San Francisco,CA,94124,7/15/16 0:00,100,,
"ECLECTIC COOKERY, INC.",HUNTER'S POINT BLDG 110,San Francisco,CA,94124,10/7/16 0:00,,,
LITTLE BAOBAB,3388 19th St,San Francisco,CA,94110,6/10/16 0:00,,No thermometers or uncalibrated thermometers,Low Risk
IBERIA CATERING,2850 ALEMANY Blvd,San Francisco,CA,94112,6/23/16 0:00,94,Unclean nonfood contact surfaces,Low Risk
Knights Catering,255 MENDELL STREET,San Francisco,CA,94124,5/19/16 0:00,,,
SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,8/15/16 0:00,87,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
PAN-O-RAMA,500 FLORIDA St,San Francisco,CA,94110,6/27/16 0:00,,,
WILLIAMS-SONOMA,2000 Chestnut St,San Francisco,CA,94123,2/10/16 0:00,96,Moderate risk food holding temperature,Moderate Risk
Eva's Catering,Pier 45,San Francisco,CA,94122,1/20/16 0:00,,,
