business_name,business_address,business_city,business_state,business_postal_code,inspection_date,inspection_score,violation_description,risk_category
LOS HERMANOS,2026 CHESTNUT St,San Francisco,CA,94123,7/25/16 0:00,91,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
ON THE BRIDGE,1581 Webster St #206,San Francisco,CA,94115,5/17/16 0:00,78,Unclean or degraded floors walls or ceilings,Low Risk
HAI SUN RESTAURANT,3137 LAGUNA St,San Francisco,CA,94123,9/29/16 0:00,,,
Ben & Jerry's,170 O'Farrell St Basement,San Francisco,CA,94102,10/31/16 0:00,96,Unclean or degraded floors walls or ceilings,Low Risk
Inga Donuts,1026 Hyde St,San Francisco,CA,94109,5/18/16 0:00,98,Low risk vermin infestation,Low Risk
PARMA RESTAURANT,3314 STEINER St,San Francisco,CA,94123,6/6/16 0:00,96,Foods not protected from contamination,Moderate Risk
PUNJAB KABAB HOUSE,101 EDDY St,San Francisco,CA,94102,6/7/16 0:00,72,High risk food holding temperature,High Risk
BISTRO AIX,3340 STEINER St,San Francisco,CA,94123,6/15/16 0:00,89,High risk vermin infestation,High Risk
Bamboo Restaurant,1441 Polk St,San Francisco,CA,94109,10/27/16 0:00,,,
YUKOL PLACE THAI CUISINE,2380 LOMBARD St,San Francisco,CA,94123,7/5/16 0:00,96,Foods not protected from contamination,Moderate Risk
SUBWAY,2001 VAN NESS Ave,San Francisco,CA,94109,4/13/16 0:00,68,Foods not protected from contamination,Moderate Risk
MOULIN ROUGE,887 GEARY St,San Francisco,CA,94109,9/2/16 0:00,89,Improper food storage,Low Risk
PACIFIC CATCH,2027 CHESTNUT St,San Francisco,CA,94123,5/18/16 0:00,87,High risk food holding temperature,High Risk
The Posh Bagel,495A CASTRO St,San Francisco,CA,94114,11/10/16 0:00,92,Moderate risk food holding temperature,Moderate Risk
NAPOLI PIZZA RESTAURANT,1045 POLK St,San Francisco,CA,94109,9/20/16 0:00,68,Unclean or unsanitary food contact surfaces,High Risk
WAYO,1407 VAN NESS Ave,San Francisco,CA,94109,11/8/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
TEN ICHI RESTAURANT,2235 FILLMORE St,San Francisco,CA,94115,8/18/16 0:00,82,Improper storage use or identification of toxic substances,Low Risk
Miyako,1470 Fillmore St,San Francisco,CA,94115,4/1/16 0:00,,,
Polkers,2226 Polk St,San Francisco,CA,94109,2/17/16 0:00,79,Permit license or inspection report not posted,Low Risk
GORDO TAQUERIA #2,1239 09th Ave,San Francisco,CA,94122,5/20/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
GIANT SCOOP,2708 SAN BRUNO Ave,San Francisco,CA,94134,6/10/16 0:00,74,Unclean hands or improper use of gloves,High Risk
King Ling,683 Geary St,San Francisco,CA,94102,5/20/16 0:00,100,,
REINA RESTAURANT,5479 MISSION St,San Francisco,CA,94112,7/8/16 0:00,83,Foods not protected from contamination,Moderate Risk
ADELITA'S CAKES,3780 MISSION St,San Francisco,CA,94110,4/25/16 0:00,,,
SUPER STAR RESTAURANT,4919 MISSION St B,San Francisco,CA,94112,7/22/16 0:00,84,Unclean or degraded floors walls or ceilings,Low Risk
SF MARRIOTT HOTEL PANTRY 5/F,55 04th St,San Francisco,CA,94103,7/19/16 0:00,96,Unclean or degraded floors walls or ceilings,Low Risk
SF MARRIOTT HOTEL PANTRY 4/F,55 04th St,San Francisco,CA,94103,7/19/16 0:00,96,Unclean or degraded floors walls or ceilings,Low Risk
SF MARRIOTT VIEW LOUNGE PANTRY,55 04th St,San Francisco,CA,94103,10/24/16 0:00,,,
COW HOLLOW CATERING,3301 LYON St,San Francisco,CA,94123,6/8/16 0:00,100,,
HAAGEN-DAZS #561,865 MARKET St,San Francisco,CA,94103,7/1/16 0:00,81,Inadequate and inaccessible handwashing facilities,Moderate Risk
HOUSE OF HUNAN,2 Townsend St,San Francisco,CA,94107,10/17/16 0:00,,,
Buster's,366 Columbus Ave,San Francisco,CA,94133,5/4/16 0:00,78,No thermometers or uncalibrated thermometers,Low Risk
Caffe Roma Coffee Roasting Co,526 Columbus Ave,San Francisco,CA,94133,5/20/16 0:00,89,Moderate risk vermin infestation,Moderate Risk
Michelangelo Caffe,579 Columbus Ave,San Francisco,CA,94133,9/27/16 0:00,94,Noncompliance with shell fish tags or display,Moderate Risk
Orale Orale Inc,113 Sacramento St,San Francisco,CA,94111,9/1/16 0:00,85,High risk food holding temperature,High Risk
Caffe Ambrosia,14 Trinity Pl,San Francisco,CA,94104,7/7/16 0:00,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Calzone's,430 Columbus Ave,San Francisco,CA,94133,6/2/16 0:00,87,Unclean or unsanitary food contact surfaces,High Risk
Rose Pistola,532 Columbus Ave,San Francisco,CA,94133,5/20/16 0:00,82,Unclean or unsanitary food contact surfaces,High Risk
Bohemian Cigar Store,566 Columbus Ave,San Francisco,CA,94133,5/25/16 0:00,92,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Vieni-Vieni,1431 Stockton St,San Francisco,CA,94133,12/12/16 0:00,92,Inadequate and inaccessible handwashing facilities,Moderate Risk
North Beach Restaurant,1512 Stockton St,San Francisco,CA,94133,6/8/16 0:00,79,Improper food storage,Low Risk
Hawaii West,729 Vallejo St,San Francisco,CA,94133,3/21/16 0:00,90,Improper storage use or identification of toxic substances,Low Risk
My Canh Restaurant,626 Broadway St,San Francisco,CA,94133,3/16/16 0:00,,,
The Stinking Rose,325 Columbus Ave,San Francisco,CA,94133,3/16/16 0:00,92,Improper food storage,Low Risk
L'Osteria Del Forno,519 Columbus Ave,San Francisco,CA,94133,9/8/16 0:00,96,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
Garden of Eden,529 Broadway St,San Francisco,CA,94133,5/20/16 0:00,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Sam's Pizza,618 Broadway St,San Francisco,CA,94133,7/6/16 0:00,88,Unclean or degraded floors walls or ceilings,Low Risk
Taqueria Zorro,308 Columbus Ave,San Francisco,CA,94133,5/11/16 0:00,74,Unclean or unsanitary food contact surfaces,High Risk
Franchino,347 Columbus Ave,San Francisco,CA,94133,9/20/16 0:00,87,Improper food storage,Low Risk
Caffe Greco,423 Columbus Ave,San Francisco,CA,94133,9/27/16 0:00,94,Inadequate warewashing facilities or equipment,Low Risk
Mara's,503 Columbus Ave,San Francisco,CA,94133,11/2/16 0:00,90,Unclean or degraded floors walls or ceilings,Low Risk
Il Pollaio,555 Columbus Ave,San Francisco,CA,94133,4/13/16 0:00,,,
Ristorante Ideale,1309 Grant Ave,San Francisco,CA,94133,8/23/16 0:00,,,
Mo's Grill,1322 Grant Ave,San Francisco,CA,94133,4/27/16 0:00,86,Unclean or unsanitary food contact surfaces,High Risk
Maykadeh Restaurant,470 Green St,San Francisco,CA,94133,5/5/16 0:00,96,Employee eating or smoking,Moderate Risk
Columbus Cafe,562 Green St,San Francisco,CA,94133,7/11/16 0:00,91,Unclean or unsanitary food contact surfaces,High Risk
"Silverhat Bar, Inc",678 Green St,San Francisco,CA,94133,12/7/16 0:00,96,Low risk vermin infestation,Low Risk
Tommaso,1042 Kearny St,San Francisco,CA,94133,8/12/16 0:00,,,
The House,1230 Grant Ave,San Francisco,CA,94133,6/10/16 0:00,,,
Dol-Ho Restaurant,808 Pacific Ave,San Francisco,CA,94133,3/28/16 0:00,,,
San Francisco Athletic Club,1630 Stockton St,San Francisco,CA,94133,5/12/16 0:00,74,Inadequate and inaccessible handwashing facilities,Moderate Risk
Caffe Trieste,601 Vallejo St,San Francisco,CA,94133,4/12/16 0:00,91,Improper food storage,Low Risk
Roxanne Cafe,570 Powell St,San Francisco,CA,94108,12/21/16 0:00,,,
COURTYARD BY MARRIOTT-COFFEE SHOP,299 02nd St,San Francisco,CA,94105,12/6/16 0:00,98,Improper storage of equipment utensils or linens,Low Risk
Quickly,5301 MISSION St,San Francisco,CA,94112,6/7/16 0:00,,Unclean or degraded floors walls or ceilings,Low Risk
Viking's Giant Sub,2906 Diamond St,San Francisco,CA,94131,4/15/16 0:00,,,
Cafe Bakery,1365 Noriega St,San Francisco,CA,94122,9/6/16 0:00,,,
Donut Time,2401 Noriega St,San Francisco,CA,94122,5/23/16 0:00,88,Moderate risk food holding temperature,Moderate Risk
SHERATON PALACE - EMP.  CAFETERIA,2 NEW MONTGOMERY St,San Francisco,CA,94105,8/9/16 0:00,85,Inadequate dressing rooms or improper storage of personal items,Low Risk
Daily Health,1235 09th Ave,San Francisco,CA,94122,5/20/16 0:00,98,Other low risk violation,Low Risk
Boudin Sourdough Bakery,3251 20th Ave,San Francisco,CA,94132,7/6/16 0:00,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
MELISA'S CHINESE CUISINE,0450 BALBOA St,San Francisco,CA,94118,12/5/16 0:00,,,
Nizario's Pizza,3840 Geary Blvd,San Francisco,CA,94118,6/14/16 0:00,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
Marnee Thai Restaurant,2225 Irving St,San Francisco,CA,94122,9/30/16 0:00,,,
EL SALVADOR RESTAURANT,2278 MISSION St,San Francisco,CA,94110,4/19/16 0:00,96,Inadequate and inaccessible handwashing facilities,Moderate Risk
Hamburger Haven,800 Clement St,San Francisco,CA,94118,10/6/16 0:00,86,Moderate risk food holding temperature,Moderate Risk
THAI TIME RESTAURANT,315 08th Ave,San Francisco,CA,94118,6/8/16 0:00,78,Moderate risk vermin infestation,Moderate Risk
LITTLE HENRY'S,3600 BALBOA St,San Francisco,CA,94121,4/12/16 0:00,98,Unclean nonfood contact surfaces,Low Risk
Gordo Taqueria #1,2252 Clement St,San Francisco,CA,94121,3/28/16 0:00,,,
Loi's Vietnamese Restaurant,2228 Irving St,San Francisco,CA,94122,5/24/16 0:00,,,
KATIA'S,600 05th Ave,San Francisco,CA,94118,6/29/16 0:00,85,Unsanitary employee garments hair or nails,Low Risk
CAJUN PACIFIC,4542 IRVING St,San Francisco,CA,94122,7/7/16 0:00,,,
DESTINO RESTAURANT,1815 MARKET St,San Francisco,CA,94103,8/10/16 0:00,98,Unclean or degraded floors walls or ceilings,Low Risk
TACO LOS ALTOS,737 CORTLAND Ave,San Francisco,CA,94110,3/11/16 0:00,91,Unapproved or unmaintained equipment or utensils,Low Risk
NEW TSING TAO RESTAURANT,811 ULLOA St,San Francisco,CA,94127,6/8/16 0:00,96,Unclean nonfood contact surfaces,Low Risk
BURRITO EXPRESS,1601 TARAVAL St,San Francisco,CA,94116,6/15/16 0:00,83,Unapproved or unmaintained equipment or utensils,Low Risk
WON TON HOUSE,1325 NORIEGA St,San Francisco,CA,94122,5/3/16 0:00,80,Improper cooling methods,High Risk
YOU SEE SUSHI,94 JUDAH St,San Francisco,CA,94122,6/15/16 0:00,83,Moderate risk food holding temperature,Moderate Risk
TSING TAO RESTAURANT,3107 CLEMENT St,San Francisco,CA,94121,5/27/16 0:00,,,
POMELO,92 JUDAH St,San Francisco,CA,94122,8/19/16 0:00,94,Moderate risk food holding temperature,Moderate Risk
J & A RESTAURANT,5712 MISSION St,San Francisco,CA,94112,7/18/16 0:00,92,Moderate risk food holding temperature,Moderate Risk
